title,description,price,imageUrl,url,categories,brand,retailer,currency,asin,merchantDomain,affiliateProgram
"Personalized Leather Keychain","Handcrafted genuine leather keychain with custom name engraving. Perfect gift for him or her.",24.99,https://i.etsystatic.com/12345678/r/il/abc123/1234567890/il_794xN.1234567890_def1.jpg,https://www.etsy.com/listing/123456789/personalized-leather-keychain,Personalized|Accessories|Leather Goods,LeatherCraftCo,Etsy,USD,,etsy.com,etsy
"Wireless Charging Station 3-in-1","Charge your iPhone, Apple Watch, and AirPods simultaneously. Sleek aluminum design.",39.99,https://m.media-amazon.com/images/I/71ABC123def+.jpg,https://www.amazon.com/dp/B08EXAMPLE1,Tech|Gadgets|Electronics|Charging,TechBrand,Amazon,USD,B08EXAMPLE1,amazon.com,amazon
"Scented Candle Gift Set","Set of 3 premium soy candles with lavender, vanilla, and eucalyptus scents. 40 hour burn time each.",29.99,https://i.etsystatic.com/98765432/r/il/xyz789/9876543210/il_794xN.9876543210_ghi2.jpg,https://www.etsy.com/listing/987654321/scented-candle-gift-set,Home & Living|Candles|Aromatherapy|Gifts for Her,CandleCozy,Etsy,USD,,etsy.com,etsy
"Smart Home Speaker","Voice-controlled smart speaker with premium sound and Alexa built-in.",79.99,https://m.media-amazon.com/images/I/61ABC789xyz+.jpg,https://www.amazon.com/dp/B09EXAMPLE2,Electronics|Smart Home|Speakers|Tech Gifts,TechVoice,Amazon,USD,B09EXAMPLE2,amazon.com,amazon
"Custom Portrait from Photo","Hand-drawn digital portrait from your photo. Perfect unique gift for anniversaries and birthdays.",45.00,https://i.etsystatic.com/11223344/r/il/portrait123/1122334455/il_794xN.1122334455_jkl3.jpg,https://www.etsy.com/listing/112233445/custom-portrait-from-photo,Art & Collectibles|Personalized|Portraits|Romantic Gifts,ArtistryShop,Etsy,USD,,etsy.com,etsy
"Fitness Tracker Watch","Track steps, heart rate, sleep, and calories. 7-day battery life, water resistant.",59.99,https://m.media-amazon.com/images/I/81DEF456ghi+.jpg,https://www.amazon.com/dp/B07EXAMPLE3,Sports|Fitness|Wearables|Health Gifts,FitTracker,Amazon,USD,B07EXAMPLE3,amazon.com,amazon
"Gourmet Coffee Gift Box","Premium coffee sampler with 4 unique roasts from around the world. Includes tasting notes.",34.99,https://m.media-amazon.com/images/I/91GHI789jkl+.jpg,https://www.amazon.com/dp/B08EXAMPLE4,Food & Drink|Coffee|Gourmet|Gifts for Him,CoffeeCraft,Amazon,USD,B08EXAMPLE4,amazon.com,amazon
"Handmade Ceramic Mug","Unique handmade pottery mug with reactive glaze. Microwave and dishwasher safe.",28.00,https://i.etsystatic.com/55667788/r/il/mug456/5566778899/il_794xN.5566778899_mno4.jpg,https://www.etsy.com/listing/556677889/handmade-ceramic-mug,Home & Living|Kitchen|Mugs|Handmade,PotteryStudio,Etsy,USD,,etsy.com,etsy
"Bluetooth Headphones Wireless","Over-ear headphones with active noise cancelling and 30-hour battery life.",89.99,https://m.media-amazon.com/images/I/71JKL012mno+.jpg,https://www.amazon.com/dp/B09EXAMPLE5,Electronics|Audio|Headphones|Tech Gifts,AudioMax,Amazon,USD,B09EXAMPLE5,amazon.com,amazon
"Succulent Plant Gift Set","Set of 6 assorted succulents in decorative pots. Low maintenance, perfect for beginners.",32.50,https://i.etsystatic.com/99887766/r/il/plant789/9988776655/il_794xN.9988776655_pqr5.jpg,https://www.etsy.com/listing/998877665/succulent-plant-gift-set,Home & Garden|Plants|Succulents|Gifts for Her,GreenThumbShop,Etsy,USD,,etsy.com,etsy
