path,action,reason
.cursor\agents\_memory\decisions.log.md,KEEP,out-of-scope
.cursor\agents\_memory\product-vision.md,KEEP,out-of-scope
.cursor\agents\_memory\roadmap.md,KEEP,out-of-scope
.cursor\agents\_templates\agent.template.md,KEEP,out-of-scope
.cursor\agents\design\brand-guardian.md,KEEP,out-of-scope
.cursor\agents\design\ui-designer.md,KEEP,out-of-scope
.cursor\agents\design\ux-researcher.md,KEEP,out-of-scope
.cursor\agents\design\visual-storyteller.md,KEEP,out-of-scope
.cursor\agents\design\whimsy-injector.md,KEEP,out-of-scope
.cursor\agents\engineering\ai-engineer.md,KEEP,out-of-scope
.cursor\agents\engineering\backend-architect.md,KEEP,out-of-scope
.cursor\agents\engineering\devops-automator.md,KEEP,out-of-scope
.cursor\agents\engineering\frontend-developer.md,KEEP,out-of-scope
.cursor\agents\engineering\mobile-app-builder.md,KEEP,out-of-scope
.cursor\agents\engineering\rapid-prototyper.md,KEEP,out-of-scope
.cursor\agents\marketing\app-store-optimizer.md,KEEP,out-of-scope
.cursor\agents\marketing\content-creator.md,KEEP,out-of-scope
.cursor\agents\marketing\growth-hacker.md,KEEP,out-of-scope
.cursor\agents\marketing\instagram-curator.md,KEEP,out-of-scope
.cursor\agents\marketing\reddit-community-builder.md,KEEP,out-of-scope
.cursor\agents\marketing\tiktok-strategist.md,KEEP,out-of-scope
.cursor\agents\marketing\twitter-engager.md,KEEP,out-of-scope
.cursor\agents\product\feedback-synthesizer.md,KEEP,out-of-scope
.cursor\agents\product\sprint-prioritizer.md,KEEP,out-of-scope
.cursor\agents\product\trend-researcher.md,KEEP,out-of-scope
.cursor\agents\project-management\experiment-tracker.md,KEEP,out-of-scope
.cursor\agents\project-management\project-shipper.md,KEEP,out-of-scope
.cursor\agents\project-management\studio-producer.md,KEEP,out-of-scope
.cursor\agents\studio-operations\analytics-reporter.md,KEEP,out-of-scope
.cursor\agents\studio-operations\finance-tracker.md,KEEP,out-of-scope
.cursor\agents\studio-operations\infrastructure-maintainer.md,KEEP,out-of-scope
.cursor\agents\studio-operations\legal-compliance-checker.md,KEEP,out-of-scope
.cursor\agents\studio-operations\support-responder.md,KEEP,out-of-scope
.cursor\agents\testing\api-tester.md,KEEP,out-of-scope
.cursor\agents\testing\performance-benchmarker.md,KEEP,out-of-scope
.cursor\agents\testing\test-results-analyzer.md,KEEP,out-of-scope
.cursor\agents\testing\tool-evaluator.md,KEEP,out-of-scope
.cursor\agents\testing\workflow-optimizer.md,KEEP,out-of-scope
.cursor\commands\accessibility-audit.md,KEEP,out-of-scope
.cursor\commands\add-documentation.md,KEEP,out-of-scope
.cursor\commands\add-error-handling.md,KEEP,out-of-scope
.cursor\commands\address-github-pr-comments.md,KEEP,out-of-scope
.cursor\commands\cmd-recent-changes-deep-check.md,KEEP,out-of-scope
.cursor\commands\cmd-repo-deep-clean.md,KEEP,out-of-scope
.cursor\commands\cmd-ui-overhaul-architect.md,KEEP,out-of-scope
.cursor\commands\cmd-ui-test-and-fix.md,KEEP,out-of-scope
.cursor\commands\code-review.md,KEEP,out-of-scope
.cursor\commands\create-pr.md,KEEP,out-of-scope
.cursor\commands\database-migration.md,KEEP,out-of-scope
.cursor\commands\debug-issue.md,KEEP,out-of-scope
.cursor\commands\fix-compile-errors.md,KEEP,out-of-scope
.cursor\commands\fix-git-issues.md,KEEP,out-of-scope
.cursor\commands\generate-api-docs.md,KEEP,out-of-scope
.cursor\commands\generate-pr-description.md,KEEP,out-of-scope
.cursor\commands\light-review-existing-diffs.md,KEEP,out-of-scope
.cursor\commands\lint-fix.md,KEEP,out-of-scope
.cursor\commands\onboard-new-developer.md,KEEP,out-of-scope
.cursor\commands\optimize-performance.md,KEEP,out-of-scope
.cursor\commands\refactor-code.md,KEEP,out-of-scope
.cursor\commands\run-all-tests-and-fix.md,KEEP,out-of-scope
.cursor\commands\run-lint-suite.md,KEEP,out-of-scope
.cursor\commands\security-audit.md,KEEP,out-of-scope
.cursor\commands\security-review.md,KEEP,out-of-scope
.cursor\commands\setup-new-feature.md,KEEP,out-of-scope
.cursor\commands\write-unit-tests.md,KEEP,out-of-scope
.cursor\scratchpad.md,KEEP,out-of-scope
.pytest_cache\README.md,KEEP,out-of-scope
docs\activity-log.md,KEEP,activity-log-ssot
docs\custom_stories_pdf_layout.md,MOVE,docs/guides/
templates\activity-log-entry.md,KEEP,activity-log-template
